FID,ECB,Y,Ylog,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
316,0,19,1,8,16,0,0,9,5,1,0,0,8,17,89,41,0,0
681,1,10,1,15,24,1,0,11,3,1,0,0,5,3,6,2,5,0
437,0,6,1,102,81,0,10,76,8,8,2,2,79,80,23,17,1,35
567,0,5,1,26,56,0,0,23,2,0,2,5,18,15,6,9,0,6
109,1,4,1,16,24,0,0,6,1,3,3,0,20,15,3,2,0,3
128,0,4,1,17,34,0,0,22,5,13,1,2,23,15,8,7,0,3
317,2,4,1,38,2,0,1,33,3,2,0,0,5,32,40,18,0,1
434,0,4,1,17,83,0,0,12,13,3,2,2,51,25,15,22,1,27
466,0,4,1,55,59,0,6,50,2,10,0,2,60,66,8,4,0,11
505,0,4,1,52,13,0,4,47,0,0,1,4,13,22,41,10,6,3
272,0,3,1,30,25,0,8,27,4,1,1,0,8,48,19,11,0,0
334,3,3,1,36,28,0,3,27,3,0,0,3,27,41,50,7,2,4
389,0,3,1,13,57,0,1,10,4,1,2,1,8,18,6,3,0,2
393,2,3,1,34,29,1,12,17,1,0,0,1,4,10,38,11,0,0
406,0,3,1,9,43,0,3,13,1,1,0,3,13,17,5,8,0,22
417,3,3,1,49,61,0,6,40,4,0,2,2,23,72,45,24,1,3
433,0,3,1,41,54,0,1,39,14,3,1,5,30,38,25,21,0,10
470,2,3,1,30,49,0,0,20,1,1,1,2,21,21,5,4,0,4
512,0,3,1,25,63,0,2,22,6,9,1,3,65,18,1,4,4,36
544,3,3,1,25,38,0,0,20,3,0,0,4,5,18,9,4,9,3
840,0,3,1,23,24,1,1,16,0,1,1,3,16,19,31,13,0,4
88,2,2,1,14,23,1,0,19,3,0,1,1,4,5,4,4,0,0
110,2,2,1,81,41,0,6,69,6,1,5,2,50,53,21,41,0,8
152,0,2,1,6,26,1,2,6,2,0,3,3,7,11,2,8,0,0
190,0,2,1,34,64,0,0,36,7,2,1,3,28,41,21,12,0,6
246,0,2,1,1,4,0,1,1,0,0,0,0,3,2,0,2,0,0
327,0,2,1,3,8,0,0,2,1,0,0,0,0,1,2,3,2,0
339,1,2,1,12,9,0,2,13,3,0,0,0,7,30,39,20,0,2
354,0,2,1,4,23,1,0,3,1,4,1,1,4,2,11,2,0,1
362,2,2,1,46,12,0,1,43,4,1,2,1,16,49,33,15,0,0
391,0,2,1,52,49,0,12,43,4,1,0,0,15,92,31,13,0,1
